"SNAME","CNAME","DNAME","API13","API12","SD_SIG","EL_SIG","MEALS","YR_RND","ACS_K3","ACS_46","ENROLL","PCST_E28","alreadyInRIF","aiRIFtxt","mealsQuant","pcst_e28Quant","letter","LAT","LONG"
"A. E. ARNOLD ELEMENTARY","ORANGE","CYPRESS ELEMENTARY",887,"879","YES","YES",40,"NO","23","29",556,251.04,0,"No",1,4,"Out","33.82683","-118.055721"
"A. J. COOK ELEMENTARY","ORANGE","GARDEN GROVE UNIFIED",897,"885","YES","YES",71,"NO","22","30",273,122.4,0,"No",1,1,"J","33.76267","-117.958241"
"ABRAHAM LINCOLN","LOS ANGELES","PARAMOUNT UNIFIED",833,"835","YES","YES",94,"NO","28","29",404,187.2,0,"No",3,4,"Out","33.893335","-118.158338"
"ABRAHAM LINCOLN ELEMENTARY","LOS ANGELES","GLENDALE UNIFIED",917,"915","YES","YES",30,"NO","20","34",340,159.36,0,"No",0,3,"P","34.227839","-118.252687"
"ABRAHAM LINCOLN ELEMENTARY","ORANGE","NEWPORT-MESA UNIFIED",919,"938","NO","NO",8,"NO","23","30",512,232.32,0,"No",0,4,"Out","33.60974","-117.861651"
"ABRAHAM LINCOLN ELEMENTARY","ORANGE","SANTA ANA UNIFIED",734,"730","YES","YES",97,"NO","27","29",639,288.96,0,"No",3,4,"Out","33.74085","-117.901391"
"ACACIA ELEMENTARY","ORANGE","FULLERTON ELEMENTARY",951,"948","YES","YES",25,"NO","31","34",485,227.52,0,"No",0,4,"Out","33.88214","-117.897381"
"ACADEMIA MODERNA","LOS ANGELES","LOS ANGELES UNIFIED",768,"802","YES","YES",88,"NO","26","24",225,103.68,0,"No",2,1,"F","33.967073","-118.229314"
"ACADEMY FOR ENRICHED SCIENCES","LOS ANGELES","LOS ANGELES UNIFIED",952,"963","NO","NO",24,"NO","22","21",172,79.68,0,"No",0,0,"M","34.18298","-118.646971"
"ACCELERATED","LOS ANGELES","LOS ANGELES UNIFIED",774,"767","YES","YES",92,"NO","23","31",581,272.64,0,"No",2,4,"Out","34.011018","-118.273521"
"ACCELERATED ELEMENTARY CHARTER","LOS ANGELES","LOS ANGELES UNIFIED",745,"760","YES","YES",93,"NO","21","25",121,51.36,0,"No",3,0,"A","34.01518","-118.273301"
"ADA CLEGG ELEMENTARY","ORANGE","WESTMINSTER",894,"886","YES","YES",50,"YES","22","28",332,154.08,0,"No",1,3,"L","33.7482","-118.019791"
"ADA S. NELSON ELEMENTARY","LOS ANGELES","LOS NIETOS",783,"779","YES","YES",96,"NO","29","32",338,153.6,0,"No",3,3,"D","33.96971","-118.075001"
"ADAMS ELEMENTARY","ORANGE","NEWPORT-MESA UNIFIED",797,"788","YES","YES",78,"NO","19","30",303,132.48,0,"No",2,2,"G","33.67435","-117.931891"
"ADAMS ELEMENTARY","ORANGE","SANTA ANA UNIFIED",812,"800","YES","YES",96,"NO","26","29",387,175.2,0,"No",3,4,"Out","33.71768","-117.897021"
"ADDAMS ELEMENTARY","LOS ANGELES","LONG BEACH UNIFIED",777,"798","YES","YES",94,"NO","29","35",591,268.32,0,"No",3,4,"Out","33.852883","-118.19149"
"AEOLIAN ELEMENTARY","LOS ANGELES","LOS NIETOS",777,"809","YES","YES",95,"NO","28","31",367,169.44,0,"No",3,4,"Out","33.96583","-118.067891"
"AGNES L. SMITH ELEMENTARY","ORANGE","HUNTINGTON BEACH CITY ELEMENTA",911,"915","YES","NO",21,"NO","30","28",570,263.04,0,"No",0,4,"Out","33.66954","-118.004781"
